Unnamed: 0,Groups & Sub-Groups,Weight %,2015/16,2016/17,2017/18,2018/19,Percent Change,Percent Change.1,1   CAPITAL FUND,17376.7,14237.7,17735.1,19707.0,19128.1,18539.1,108675.0,15633.1,21442.9,24104.8,19674.5,Unnamed: 7,Bank/FI,Name,Interest Rate,Minimum Balance,Tenure,19707,108675,Trade,Last,Previous,Highest,Lowest,Amount,Date
,Non-food and Services,53.12,110.1,120.48,128.55,135.74,6.7,,,,,,,,,,,,,,5.59,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPI : Mountain (5 Districts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Index,100.0,108.77,113.2,119.83,125.71,5.86,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,,
,Food and Beverage,59.53,108.53,111.42,116.96,120.68,4.97,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,
,Non-food and Services,40.47,109.12,115.87,124.17,133.51,7.16,,,,,,,,,,,,,,7.52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Salapa Bikas,Fixed Deposit-1Y&above,8.50%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Salapa Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-3Y&above,8.00%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance,Fixed Deposit-Above2Y,8.00%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Salapa Bikas,Fixed Deposit-3Mto6M,8.00%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Salapa Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-5Y&above,7.85%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finan.,Fixed Deposit-2Y&above,7.80%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori,Fixed Deposit-5Y&above,7.75%,0.0,5 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Fin.,Fixed Deposit-Above3Y,7.75%,0.0,3.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Finance Ltd.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-3Yto5Y,7.75%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-2Yto3Y,7.70%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,Fixed Deposit-10M,7.50%,0.0,10 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance,Fixed Deposit-1Yto2Y,7.50%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-1Yto2Y,7.50%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose,Fixed Deposit-2Y&above,7.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Dev.,Fixed Deposit-1Y&above,7.25%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sindhu Bikas,Fixed Deposit-1Y&above,7.11%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sindhu Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,Fixed Deposit-6Mto2Y,7.10%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,Fixed Deposit-Upto2Y,7.00%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Develop.,Fixed Deposit-2Y&above,7.00%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Dev. Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finan.,Fixed Deposit-1Y,7.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-2Yto<3Y,7.00%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree,Fixed Deposit-5Y&above,7.00%,0.0,5 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance,Fixed Deposit-5Y&above,7.00%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Fin,Fixed Deposit-3Y,7.00%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Dev.,Fixed Deposit-6Mto1Y,7.00%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance,Fixed Deposit-9M,6.75%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Fin,Fixed Deposit-2Y,6.75%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finan,Fixed Deposit-2Y&above,6.75%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive,Fixed Deposit-3Y&above,6.75%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive Fin. Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Fin.,Fixed Deposit->2Yto3Y,6.75%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Finance Ltd.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose,Fixed Deposit-1Y,6.75%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finan.,Fixed Deposit-3Y&above,6.75%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-1Yto<2Y,6.70%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance,Fixed Deposit-5Y&above,6.65%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Develop.,Fixed Deposit-1Yto<2Y,6.60%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Dev. Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finan,Fixed Deposit-1Yto<2Y,6.60%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NMB Bank,Fixed Deposit-Above5Y,6.60%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NMB Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-270 days,6.60%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree,Fixed Deposit-3Yto<5Y,6.60%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NIC Asia,Fixed Deposit-5Y&above,6.60%,0.0,5 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NIC ASIA Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Miteri Bikas,Fixed Deposit->2Y,6.50%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Miteri Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,Fixed Deposit,6.50%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,SuperFD-5Y&above,6.50%,1.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Garima Bikas,Fixed Deposit-2Y&above,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Garima Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mahalaxmi,Fixed Deposit-3Y&above,6.50%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mahalaxmi Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lumbini Bikas,Fixed Deposit->2Y,6.50%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lumbini Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shree Invest,Fixed Deposit-2Y&above,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shree Invest &Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance,Fixed Deposit->3Yto5Y,6.50%,0.0,3.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive,Fixed Deposit-2Yto3Y,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive Fin. Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-180 Days,6.50%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Fin.,Fixed Deposit-1Yto2Y,6.50%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Finance Ltd.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shangrila Dev.,Fixed Deposit-2Y&above,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shangrila Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Dev.,Fixed Deposit-3Mto5M,6.50%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narayani Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Fin,Fixed Deposit-1 to < 2 year,6.50%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance,Fixed Deposit-2Yto<5Y,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finan.,Fixed Deposit-2Y,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori,Fixed Deposit-3Yto<5Y,6.50%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance,Fixd Desposit-6M,6.50%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Excel Bikas,Fixed Deposit-3Yto5Y,6.50%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Excel Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Muktinath,Fixed Deposit->2Yto10Y,6.50%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Muktinath Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NIMB,Fixed Deposit-Above2Y,6.50%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Investment Mega Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kamana Sewa,Fixed Deposit-2Y&above,6.50%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kamana Sewa B.Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jyoti Bikas,Fixed Deposit-3Y&above,6.50%,0.0,3.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jyoti Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga,Fixed Deposit-5Y&above,6.50%,0.0,5 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga BB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finan.,Fixed Deposit- 9 Month,6.45%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance,Fixed Deposit->2Yto3Y,6.40%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finan,Fixed Deposit- 9M,6.35%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive,Fixed Deposit-1Yto<2Y,6.35%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive Fin. Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Dev,General Fixed Deposit,6.25%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Corporate Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,SCB,Fixed Deposit-5Y,6.25%,0.0,5 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Standard Chartered Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance,Fixed Deposit->1Yto2Y,6.25%,0.0,1.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Best Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori,Fixed Deposit-2Yto<3Y,6.25%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga,Fixed Deposit-4Yto<5Y,6.25%,0.0,4 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga BB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Himalayan,Fixed Deposit->5Yto10Y,6.25%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Himalayan Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose,Fixed Deposit-9M,6.25%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance,Fixed Deposit-3M,6.25%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree,Fixed Deposit-2Yto<3Y,6.25%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Bank,Fixed Deposit-Above1Y,6.25%,0.0,1.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Commercial Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sindhu Bikas,Fixed Deposit-6Mto<1Y,6.21%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sindhu Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finan,Fixed Deposit-6M,6.20%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finan.,Fixed Deposit-6m,6.20%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Janaki Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prabhu Bank,Fixed Deposit-Above5Y,6.10%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prabhu Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Develop.,Fixed Deposit-6M,6.05%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Dev. Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sanima Bank,Fixed Deposit-Above3Y,6.05%,0.0,3.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sanima Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Miteri Bikas,Fixed Deposit-1Yto2Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Miteri Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finan,Fixed Deposit 3M,6.00%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurkhas Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finan.,Fixed Deposit-1Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Goodwill Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,RBB,Fixed Deposit-2Y&above,6.00%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rastriya Banijya Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NIMB,Fixed Deposit->1Yto2Y,6.00%,0.0,1.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nepal Investment Mega Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Everest Bank,Fixed Deposit-Above5Y,6.00%,0.0,5.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Everest Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NMB Bank,Fixed Deposit->3Yto5Y,6.00%,0.0,3.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NMB Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive,Fixed Deposit-9M,6.00%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive Fin. Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finan.,Fixed Deposit-90Days,6.00%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Pokhara Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-9 month,6.00%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori,Fixed Deposit-1Yto<2Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance,Fixed Deposit-1Yto<2Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ICFC Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Fin.,Fixed Deposit-9M,6.00%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Reliance Finance Ltd.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Bank,Fixed Deposit-1Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Commercial Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga,Fixed Deposit-3Yto<4Y,6.00%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga BB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Fin,Fixed Deposit-9 Month,6.00%,0.0,9 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Central Finance Ltd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shangrila Dev.,Fixed Deposit-1Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shangrila Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree,Fixed Deposit-1Yto<3Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Manjushree Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Excel Bikas,Fixed Deposit-1Yto<3Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Excel Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose,Fixed Deposit-6M,6.00%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shree Invest,Fixed Deposit-1Yto2Y,6.00%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shree Invest &Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Siddhartha,Fixed Deposit->2Y,6.00%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Siddhartha Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Machhapuchhre,Fixed Deposit-3Y&above,6.00%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Machhapuchhre Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Global IME,Fixed Deposit-3Y&above,6.00%,0.0,3 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Global IME Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sanima Bank,Fixed Deposit->2Yto3Y,5.85%,0.0,2.08 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sanima Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kumari Bank,Fixed Deposit-2Y&above,5.81%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kumari Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose,Fixed Deposit-3M,5.80%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Multipurpose Finance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Muktinath,Fixed Deposit-1Yto2Y,5.80%,0.0,1 year,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Muktinath Bikas Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Develop.,Fixed Deposit-3M,5.75%,0.0,3 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Green Dev. Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga,Fixed Deposit-2Yto<3Y,5.75%,0.0,2 years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Shine Resunga BB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Bank,Fixed Deposit-6Mto<1Y,5.75%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Prime Commercial Bank,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive,Fixed Deposit- 6M,5.75%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Progressive Fin. Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Fin,Fixed Deposit-6 month,5.75%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Samriddhi Finance Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori,Fixed Deposit-6Mto9M,5.75%,0.0,6 months,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guheshwori Finance,,,,,,,,,,,,,
